nflId,position,displayName
25511,QB,Tom Brady
29550,T,Jason Peters
29851,QB,Aaron Rodgers
30842,TE,Marcedes Lewis
33084,QB,Matt Ryan
33099,QB,Joe Flacco
33107,T,Duane Brown
33130,WR,DeSean Jackson
33131,DE,Calais Campbell
33138,QB,Chad Henne
34452,QB,Matthew Stafford
34754,QB,Chase Daniel
34843,QB,Brian Hoyer
35443,T,Trent Williams
35449,NT,Tyson Alualu
35452,DE,Brandon Graham
35454,DE,Jason Pierre-Paul
35459,SS,Kareem Jackson
35466,FS,Devin McCourty
35470,DE,Jerry Hughes
35472,G,Rodger Saffold
35493,OLB,Carlos Dunlap
35522,DT,Corey Peters
35562,NT,Al Woods
36785,T,Ty Nsekhe
37075,OLB,Von Miller
37077,WR,A.J. Green
37078,CB,Patrick Peterson
37079,WR,Julio Jones
37084,DE,J.J. Watt
37087,OLB,Robert Quinn
37097,DE,Cameron Jordan
37101,RB,Mark Ingram
37104,DT,Cameron Heyward
37110,QB,Andy Dalton
37118,TE,Kyle Rudolph
37130,C,Rodney Hudson
37139,WR,Randall Cobb
37145,OLB,Justin Houston
37213,T,Marcus Cannon
37255,QB,Tyrod Taylor
37266,C,Jason Kelce
37308,DT,Lawrence Guy
37724,CB,Chris Harris
37778,ILB,Josh Bynes
37792,ILB,Nick Bellore
37841,DE,Mario Addison
38538,QB,Ryan Tannehill
38540,CB,Stephon Gilmore
38542,DT,Fletcher Cox
38544,DE,Michael Brockers
38545,OLB,Bruce Irvin
38548,OLB,Melvin Ingram
38551,DE,Chandler Jones
38553,T,Riley Reiff
38557,G,Kevin Zeitler
38559,SS,Harrison Smith
38577,ILB,Bobby Wagner
38588,ILB,Lavonte David
38589,DE,Vinny Curry
38592,CB,Casey Hayward
38605,QB,Russell Wilson
38607,MLB,Demario Davis
38618,QB,Nick Foles
38619,DT,Akiem Hicks
38629,C,Ben Jones
38632,QB,Kirk Cousins
38683,T,Dennis Kelly
38696,WR,Marvin Jones
38707,FS,Justin Bethel
38779,T,Kelvin Beachum
38843,FS,Rodney McLeod
38852,SS,Michael Thomas
38868,FS,Tashaun Gipson
38937,QB,Case Keenum
38947,WR,Cole Beasley
39212,RB,Brandon Bolden
39646,WR,Josh Gordon
39684,G,Greg Van Roten
39908,FS,Erik Harris
39941,FS,Chris Banjo
39950,T,Lane Johnson
39965,G,Justin Pugh
39973,WR,DeAndre Hopkins
39975,RB,Cordarrelle Patterson
39983,TE,Zach Ertz
39984,CB,Darius Slay
39987,QB,Geno Smith
39989,WR,Robert Woods
39997,NT,Johnathan Hankins
39998,OLB,Jon Bostic
40000,OLB,Jamie Collins
40011,TE,Travis Kelce
40017,FS,Tyrann Mathieu
40023,T,Terron Armstead
40024,WR,Keenan Allen
40026,WR,Marquise Goodwin
40030,NT,John Jenkins
40031,FS,Logan Ryan
40039,SS,Duron Harmon
40048,DT,Akeem Spence
40057,T,David Bakhtiari
40074,DE,William Gholston
40078,FB,Kyle Juszczyk
40089,G,Oday Aboushi
40095,OLB,Steven Means
40096,OLB,A.J. Klein
40107,FS,Micah Hyde
40124,G,David Quessenberry
40129,RB,Latavius Murray
40138,RB,Rex Burkhead
40149,TE,Ryan Griffin
40166,SS,Jordan Poyer
40171,DT,Nicholas Williams
40347,NT,Mike Purcell
40463,OLB,Brandon Copeland
40488,WR,Adam Thielen
40494,CB,Nickell Robey
40737,SS,Tony Jefferson
41069,C,James Ferentz
41227,DE,Jadeveon Clowney
41230,WR,Sammy Watkins
41231,OLB,Khalil Mack
41232,T,Jake Matthews
41233,WR,Mike Evans
41235,OLB,Anthony Barr
41237,T,Taylor Lewan
41239,DT,Aaron Donald
41240,CB,Kyle Fuller
41242,G,Zack Martin
41243,ILB,C.J. Mosley
41245,T,Ja'Wuan James
41246,WR,Brandin Cooks
41256,FS,Jimmie Ward
41257,CB,Bradley Roby
41258,QB,Teddy Bridgewater
41263,DE,Demarcus Lawrence
41264,G,Joel Bitonio
41265,QB,Derek Carr
41269,OLB,Kyle Van Noy
41270,SS,Lamarcus Joyner
41279,OLB,Jeremiah Attaochu
41282,WR,Davante Adams
41290,WR,Allen Robinson
41291,QB,Jimmy Garoppolo
41292,WR,Jarvis Landry
41293,C,Justin Britt
41295,T,Morgan Moses
41296,T,Billy Turner
41300,OLB,Christian Kirksey
41310,G,Gabe Jackson
41321,G,Trai Turner
41324,G,Michael Schofield
41325,RB,Jerick McKinnon
41327,TE,Richard Rodgers
41336,DT,Justin Ellis
41341,DT,DaQuan Jones
41349,TE,Logan Thomas
41358,CB,Dontae Johnson
41361,OLB,Kevin Pierre-Louis
41363,DE,Brent Urban
41369,T,Cameron Fleming
41390,C,Corey Linsley
41403,OLB,Devon Kennard
41464,DE,Shelby Harris
41475,T,Charles Leno
41483,CB,Terrance Mitchell
41500,WR,Willie Snead
41532,T,James Hurst
41563,T,Cornelius Lucas
41595,NT,Mike Pennel
41599,ILB,Joe Thomas
41630,C,Justin McCray
41665,G,Tyler Shatley
41667,T,Josh Wells
41707,C,Tyler Larsen
41712,RB,Damien Williams
41786,DE,Kerry Hyder
41808,FB,Keith Smith
41915,OLB,Shaquil Barrett
41939,G,Andrew Norwell
41947,ILB,Christian Jones
41959,G,Matt Feiler
42030,CB,K'Waun Williams
42031,DE,Denico Autry
42033,TE,Cameron Brate
42116,SS,Adrian Phillips
42302,TE,Chris Manhertz
42331,DE,Efe Obada
42344,QB,Jameis Winston
42345,QB,Marcus Mariota
42346,OLB,Dante Fowler
42347,WR,Amari Cooper
42348,G,Brandon Scherff
42349,DT,Leonard Williams
42350,WR,Kevin White
42356,G,Andrus Peat
42357,WR,DeVante Parker
42358,RB,Melvin Gordon
42360,DT,Arik Armstead
42361,CB,Marcus Peters
42362,T,Cameron Erving
42363,WR,Nelson Agholor
42364,T,Cedric Ogbuehi
42365,OLB,Bud Dupree
42367,T,D.J. Humphries
42368,ILB,Shaq Thompson
42369,WR,Breshad Perriman
42371,G,Laken Tomlinson
42372,WR,Phillip Dorsett
42376,SS,Landon Collins
42377,T,Donovan Smith
42378,DT,Mario Edwards
42381,OLB,Preston Smith
42388,ILB,Eric Kendricks
42390,SS,Eric Rowe
42391,ILB,Denzel Perryman
42392,C,Mitch Morse
42393,CB,Ronald Darby
42395,DE,Jordan Phillips
42397,RB,Ameer Abdullah
42398,TE,Maxx Williams
42400,T,Rob Havenstein
42401,OLB,Markus Golden
42403,DE,Randy Gregory
42406,DE,Frank Clark
42410,G,A.J. Cann
42412,WR,Tyler Lockett
42416,RB,Tevin Coleman
42419,WR,Chris Conley
42421,CB,P.J. Williams
42427,ILB,Jordan Hicks
42428,TE,Tyler Kroft
42431,OLB,Danielle Hunter
42433,NT,Carl Davis
42436,DE,Henry Anderson
42437,WR,Ty Montgomery
42441,CB,Steven Nelson
42443,DT,Angelo Blackson
42444,OLB,Trey Flowers
42448,WR,Jamison Crowder
42465,OLB,Za'Darius Smith
42467,OLB,Kwon Alexander
42469,RB,Mike Davis
42470,MLB,Damien Wilson
42471,C,Jon Feliciano
42474,G,Shaquille Mason
42476,G,Max Garcia
42477,G,Mark Glowinski
42480,DT,Grady Jarrett
42485,FS,Adrian Amos
42486,TE,MyCole Pruitt
42488,FS,Bobby McCain
42489,WR,Stefon Diggs
42500,TE,C.J. Uzomah
42503,TE,Jesse James
42511,FB,Michael Burton
42512,MLB,David Mayo
42514,TE,Nick Boyle
42543,FS,Quandre Diggs
42547,TE,Darren Waller
42553,DT,Christian Ringo
42559,NT,Christian Covington
42560,NT,Rakeem Nunez-Roches
42569,T,Bobby Hart
42587,T,Trenton Brown
42589,TE,Geoff Swaim
42593,QB,Trevor Siemian
42654,T,La'el Collins
42718,RB,Raheem Mostert
42721,TE,Eric Tomlinson
42771,ILB,Neville Hewitt
42794,WR,DeAndre Carter
42816,CB,Troy Hill
42818,WR,Jake Kumerow
42826,DT,DeShawn Williams
42827,CB,Justin Coleman
42831,QB,Taylor Heinicke
42837,RB,Malcolm Brown
42883,C,David Andrews
42899,WR,Damiere Byrd
42901,SS,Dean Marlowe
42929,OLB,Alex Singleton
42935,CB,Bryce Callahan
42954,C,Greg Mancz
43092,DT,T.Y. McGill
43290,QB,Jared Goff
43291,QB,Carson Wentz
43292,OLB,Joey Bosa
43293,RB,Ezekiel Elliott
43294,CB,Jalen Ramsey
43295,T,Ronnie Stanley
43296,DT,DeForest Buckner
43297,T,Jack Conklin
43298,DE,Leonard Floyd
43299,CB,Eli Apple
43301,DT,Sheldon Rankins
43302,T,Laremy Tunsil
43305,T,Taylor Decker
43306,FS,Keanu Neal
43307,C,Ryan Kelly
43308,DE,Shaq Lawson
43313,CB,William Jackson
43314,CB,Artie Burns
43316,NT,Kenny Clark
43321,DE,Emmanuel Ogbah
43323,MLB,Jaylon Smith
43324,TE,Hunter Henry
43325,ILB,Myles Jack
43326,DT,Chris Jones
43327,CB,Xavien Howard
43329,WR,Sterling Shepard
43332,NT,Austin Johnson
43333,OLB,Jihad Ward
43334,RB,Derrick Henry
43335,DT,A'Shawn Robinson
43336,WR,Michael Thomas
43338,DT,Jarran Reed
43339,C,Nick Martin
43341,ILB,Deion Jones
43344,WR,Tyler Boyd
43345,G,Cody Whitehair
43350,SS,Vonn Bell
43351,CB,James Bradberry
43352,DE,Adam Gotsis
43353,FS,Kevin Byard
43354,OLB,Carl Nassib
43356,DT,Maliek Collins
43358,DE,Yannick Ngakoue
43361,DE,Jonathan Bullard
43362,RB,Kenyan Drake
43366,CB,Daryl Worley
43367,G,Joe Thuney
43368,G,Isaac Seumalo
43370,TE,Austin Hooper
43373,CB,Kendall Fuller
43376,ILB,Nick Vigil
43378,DT,Javon Hargrave
43380,QB,Jacoby Brissett
43383,TE,Nick Vannett
43384,G,Graham Glasgow
43387,FS,Justin Simmons
43388,ILB,Joe Schobert
43395,FS,Eric Murray
43396,WR,Chris Moore
43399,TE,Tyler Higbee
43400,SS,Miles Killebrew
43404,ILB,De'Vondre Campbell
43405,DT,Hassan Ridgeway
43407,SS,Juston Burris
43409,DT,David Onyemata
43411,DT,Andrew Billings
43413,SS,Deon Bush
43415,WR,Demarcus Robinson
43420,ILB,Blake Martinez
43424,QB,Dak Prescott
43426,DE,Dean Lowry
43433,C,Connor McGovern
43435,OLB,Matt Judon
43436,DE,Quinton Jefferson
43439,RB,Jordan Howard
43441,DT,Matt Ioannidis
43444,T,Joe Haeg
43445,RB,Jonathan Williams
43447,T,Brandon Shell
43454,WR,Tyreek Hill
43455,NT,D.J. Reader
43461,WR,Rashard Higgins
43474,FS,DeAndre Houston-Carson
43478,CB,Anthony Brown
43484,G,Wes Schweitzer
43487,FB,Derek Watt
43490,QB,Brandon Allen
43495,WR,Mike Thomas
43496,QB,Jeff Driskel
43497,ILB,Kamu Grugier-Hill
43503,ILB,Elandon Roberts
43508,FS,Will Parks
43510,C,Ted Karras
43522,CB,Jalen Mills
43525,RB,Dwayne Washington
43533,FS,Jayron Kearse
43534,SS,Clayton Fejedelem
43537,C,Austin Blythe
43584,WR,Kalif Raymond
43586,T,George Fant
43616,FS,Matthias Farley
43641,CB,Mike Hilton
43694,NT,Michael Pierce
43700,CB,Jonathan Jones
43722,RB,J.D. McKissic
43757,SS,Andrew Adams
43780,DT,Brandin Bryant
43787,DT,Roy Robertson-Harris
43791,DE,Morgan Fox
43797,OLB,Cory Littleton
43808,WR,Robbie  Chosen
43821,C,Jake Brendel
43845,TE,Stephen Anderson
43938,DT,Antwaun Woods
43971,FB,C.J. Ham
43986,CB,Antonio Hamilton
44003,WR,Marcus Johnson
44009,TE,J.P. Holtz
44068,G,Lucas Patrick
44174,ILB,Sam Eguavoen
44792,TE,Mo Alie-Cox
44813,DE,Myles Garrett
44814,QB,Mitchell Trubisky
44815,DT,Solomon Thomas
44816,RB,Leonard Fournette
44817,WR,Corey Davis
44818,SS,Jamal Adams
44819,WR,Mike Williams
44820,RB,Christian McCaffrey
44822,QB,Patrick Mahomes
44823,CB,Marshon Lattimore
44825,OLB,Haason Reddick
44826,DE,Derek Barnett
44827,FS,Malik Hooker
44828,CB,Marlon Humphrey
44829,DT,Jonathan Allen
44830,CB,Adoree' Jackson
44831,TE,O.J. Howard
44832,T,Garett Bolles
44834,OLB,Charles Harris
44835,TE,Evan Engram
44837,SS,Jabrill Peppers
44838,DE,Takkarist McKinley
44841,TE,David Njoku
44842,OLB,T.J. Watt
44844,T,Ryan Ramczyk
44846,T,Cam Robinson
44848,SS,Budda Baker
44849,WR,Zay Jones
44851,FS,Marcus Maye
44852,WR,Curtis Samuel
44853,RB,Dalvin Cook
44854,FS,Marcus Williams
44855,CB,Sidney Jones
44856,TE,Gerald Everett
44858,CB,Quincy Wilson
44859,OLB,Tyus Bowser
44860,RB,Joe Mixon
44861,OLB,Ryan Anderson
44862,SS,Justin Evans
44863,DE,DeMarcus Walker
44866,ILB,Raekwon McMillan
44867,DT,Dalvin Tomlinson
44869,ILB,Zach Cunningham
44870,C,Ethan Pocic
44871,DE,Tanoh Kpassagnon
44872,CB,Chidobe Awuzie
44873,FS,Josh Jones
44874,WR,JuJu Smith-Schuster
44875,T,Dion Dawkins
44876,T,Taylor Moton
44877,DT,Larry Ogunjobi
44878,CB,Ahkello Witherspoon
44879,RB,Alvin Kamara
44880,DE,Dawuane Smoot
44881,WR,Cooper Kupp
44882,C,Pat Elflein
44886,DE,Chris Wormley
44887,ILB,Duke Riley
44888,ILB,Alex Anzalone
44892,DE,Tarell Basham
44893,CB,Fabian Moreau
44896,WR,Chris Godwin
44898,RB,Kareem Hunt
44901,RB,D'Onta Foreman
44902,CB,Shaquill Griffin
44903,FS,John Johnson
44904,CB,Jourdan Lewis
44905,NT,Montravius Adams
44906,CB,Cameron Sutton
44908,WR,Kenny Golladay
44911,CB,Rasul Douglas
44912,TE,Jonnu Smith
44915,DE,Trey Hendrickson
44917,RB,James Conner
44922,DT,Jaleel Johnson
44925,SS,Eddie Jackson
44926,SS,Rayshawn Jenkins
44927,RB,Samaje Perine
44929,DE,Carl Lawson
44930,WR,Josh Reynolds
44931,WR,Mack Hollins
44937,OLB,Jalen Reeves-Maybin
44938,DE,Samson Ebukam
44944,DE,Deatrich Wise
44947,RB,Jamaal Williams
44949,C,Sean Harlow
44955,DE,Carlos Watkins
44957,DT,Grover Stewart
44959,TE,George Kittle
44964,CB,Desmond King
44968,OLB,Jayon Brown
44972,G,Jermaine Eluemunor
44974,MLB,Anthony Walker
44976,OLB,Matt Milano
44978,WR,Jamal Agnew
44985,WR,Isaiah McKenzie
44987,TE,Eric Saubert
44990,WR,Trent Taylor
44991,NT,Davon Godchaux
44995,RB,Aaron Jones
44999,SS,Chuck Clark
45004,FS,Xavier Woods
45005,RB,Alex Armah
45008,ILB,Tanner Vallejo
45009,DE,Al-Quadin Muhammad
45011,DT,D.J. Jones
45012,C,Chase Roullier
45021,SS,Rudy Ford
45024,T,Conor McDermott
45030,C,Corey Levin
45033,DE,Ifeadi Odenigbo
45038,DE,Isaac Rochell
45045,OLB,Elijah Lee
45052,WR,Noah Brown
45056,G,Kyle Fuller
45063,DE,Pat O'Connor
45064,TE,Mason Schreck
45069,C,Daniel Brunskill
45094,TE,Johnny Mundt
45102,WR,Zach Pascal
45159,QB,Phillip Walker
45185,WR,Kendrick Bourne
45186,RB,Matt Breida
45198,QB,Nick Mullens
45203,DE,Tashawn Bower
45215,OLB,Eric Wilson
45217,TE,Cethan Carter
45226,NT,Josh Tupou
45244,TE,Taysom Hill
45268,FB,Patrick Ricard
45280,WR,Cody Hollister
45281,TE,Jacob Hollister
45287,CB,Kenny Moore
45339,TE,Pharaoh Brown
45345,OLB,Nicholas Morrow
45352,ILB,Austin Calitro
45355,TE,Anthony Firkser
45369,WR,Marcus Kemp
45395,CB,Arthur Maulet
45507,WR,Tanner Gentry
45533,ILB,Joseph Jones
45536,QB,Cooper Rush
45550,T,Elijah Wilkinson
45555,WR,Keelan Cole
45571,CB,Michael Davis
45573,RB,Austin Ekeler
45630,T,Storm Norton
45635,TE,Robert Tonyan
45643,ILB,Dylan Cole
45695,G,Andrew Wylie
45719,RB,Dare Ogunbowale
45721,T,Dan Skipper
45785,TE,Dan Arnold
45798,G,Michael Dunn
45900,WR,River Cracraft
46070,QB,Baker Mayfield
46071,RB,Saquon Barkley
46073,CB,Denzel Ward
46074,OLB,Bradley Chubb
46075,G,Quenton Nelson
46076,QB,Josh Allen
46077,ILB,Roquan Smith
46078,T,Mike McGlinchey
46080,FS,Minkah Fitzpatrick
46081,NT,Vita Vea
46082,DT,Daron Payne
46083,DE,Marcus Davenport
46084,T,Kolton Miller
46085,ILB,Tremaine Edmunds
46086,FS,Derwin James
46087,CB,Jaire Alexander
46088,OLB,Leighton Vander Esch
46089,C,Frank Ragnow
46090,C,Billy Price
46091,ILB,Rashaan Evans
46092,T,Isaiah Wynn
46093,WR,D.J. Moore
46094,TE,Hayden Hurst
46096,RB,Rashaad Penny
46097,SS,Terrell Edmunds
46098,DT,Taven Bryan
46099,CB,Mike Hughes
46100,RB,Sony Michel
46101,QB,Lamar Jackson
46102,G,Austin Corbett
46103,G,Will Hernandez
46104,RB,Nick Chubb
46105,MLB,Shaquille Leonard
46106,T,Braden Smith
46108,G,James Daniels
46109,WR,Courtland Sutton
46111,TE,Mike Gesicki
46113,WR,Dante Pettis
46114,CB,Josh Jackson
46116,WR,Christian Kirk
46117,OLB,Uchenna Nwosu
46118,TE,Dallas Goedert
46119,G,Connor Williams
46121,DE,Kemoko Turay
46122,SS,M.J. Stewart
46123,FS,Jessie Bates
46124,CB,Donte Jackson
46127,CB,Isaiah Oliver
46130,WR,D.J. Chark
46131,T,Brian O'Neill
46132,CB,Carlton Davis
46133,DE,Tyquan Lewis
46135,OLB,Lorenzo Carter
46137,SS,Justin Reid
46138,DT,B.J. Hill
46139,ILB,Fred Warner
46141,DT,Nathan Shepherd
46142,ILB,Jerome Baker
46143,T,Geron Christian
46144,DT,Derrick Nnadi
46146,DE,Sam Hubbard
46148,DE,Rasheem Green
46150,WR,Michael Gallup
46151,FS,Tracy Walker
46152,T,Orlando Brown
46153,DT,Justin Jones
46155,TE,Mark Andrews
46156,OLB,Arden Key
46157,OLB,Oren Burks
46158,T,Joseph Noteboom
46159,DT,Deadrin Senat
46160,WR,Tre'Quan Smith
46161,T,Chukwuma Okorafor
46162,SS,Ronnie Harrison
46163,G,Alex Cappa
46164,SS,Tarvarius Moore
46165,DT,Harrison Phillips
46166,C,Mason Cole
46167,TE,Jordan Akins
46168,CB,Isaac Yiadom
46170,TE,Ian Thomas
46173,RB,Nyheim Hines
46175,ILB,Josey Jewell
46180,C,Brian Allen
46183,DE,Da'Shawn Hand
46185,DE,Dorance Armstrong
46186,SS,Jordan Whitehead
46187,CB,Anthony Averett
46188,ILB,Kyzir White
46189,TE,Will Dissly
46190,CB,Taron Johnson
46192,TE,Durham Smythe
46194,CB,Avonte Maddox
46197,DT,Kentavius Street
46199,DE,Josh Sweat
46203,RB,Chase Edmonds
46204,DE,John Franklin-Myers
46205,OLB,Marquis Haynes
46206,TE,Dalton Schultz
46211,CB,D.J. Reed
46212,ILB,Ja'Whaun Bentley
46213,WR,Justin Watson
46214,DT,Bilal Nichols
46215,CB,Tre Flowers
46219,DE,Genard Avery
46223,CB,Siran Neal
46224,C,Scott Quessenberry
46226,TE,Tyler Conklin
46229,DE,Ogbonnia Okoronkwo
46232,DT,Tim Settle
46235,G,Wyatt Teller
46238,RB,Jordan Wilkins
46243,WR,Marquez Valdes-Scantling
46249,DT,Folorunso Fatukasi
46253,OLB,Marcell Harris
46255,DE,Jake Martin
46256,WR,Ray-Ray McCloud
46259,FS,DeShon Elliott
46263,WR,Russell Gage
46264,NT,Sebastian Joseph
46269,ILB,Foyesade Oluokun
46270,RB,Boston Scott
46275,T,Matt Pryor
46276,WR,Equanimeous St. Brown
46277,WR,Cedrick Wilson
46278,CB,Cornell Armstrong
46279,WR,Braxton Berrios
46282,G,Colby Gossett
46284,C,Bradley Bozeman
46290,OLB,Matthew Adams
46293,WR,Javon Wims
46302,T,Jordan Mailata
46304,OLB,Zaire Franklin
46307,DT,Zach Sieler
46309,WR,Richie James
46312,CB,Keion Crossen
46314,C,Will Clapp
46320,RB,Justin Jackson
46329,CB,Danny Johnson
46331,TE,Ross Dwelley
46338,G,Jeremiah Kolone
46349,FS,George Odum
46354,CB,Emmanuel Moseley
46362,WR,Cam Sims
46367,RB,Phillip Lindsay
46376,G,Coleman Shelton
46377,RB,Jeffery Wilson
46378,SS,J.T. Gray
46387,DT,Kendal Vickers
46404,C,J.C. Hassenauer
46407,CB,Chris Lammons
46437,RB,Gus Edwards
46446,TE,Kevin Rader
46456,CB,Darious Williams
46457,OLB,Olasunkanmi Adeniyi
46461,RB,Mike Boone
46487,DE,Poona Ford
46501,CB,Elijah Campbell
46504,DT,Daniel Ekuale
46506,RB,Dontrell Hilliard
46521,ILB,Ben Niemann
46522,WR,Byron Pringle
46526,RB,Darrel Williams
46527,ILB,Frankie Luvu
46542,WR,Keith Kirkwood
46543,DT,Henry Mondeaux
46618,DT,Taylor Stallworth
46629,C,Nick Gates
46630,CB,Jalen Davis
46649,FS,Jeremy Reaves
46652,CB,Chandon Sullivan
46657,OLB,Dennis Gardeck
46669,FS,Jonathan Owens
46671,WR,Trent Sherfield
46672,CB,Tavierre Thomas
46674,ILB,Ezekiel Turner
46679,C,Evan Brown
46680,SS,Sean Chandler
46686,CB,Grant Haley
46698,CB,Levi Wallace
46699,CB,Dee Delaney
46700,CB,Tre Herndon
46705,WR,Allen Lazard
46706,T,KC McDermott
46711,SS,Ryan Neal
46729,CB,Brandon Facyson
46755,T,Trenton Scott
46757,CB,Charvarius Ward
46771,DE,Abdullah Anderson
46775,CB,J.C. Jackson
46796,DE,Demone Harris
46797,TE,Tanner Hudson
46823,CB,Mike Ford
46830,WR,Brandon Powell
46841,DT,Matt Dickerson
46846,FS,Joshua Kalu
46902,ILB,Robert Spillane
46958,ILB,Chris Board
46992,WR,KhaDarel Hodge
46998,WR,Malik Turner
47605,RB,D'Ernest Johnson
47749,FB,Jakob Johnson
47784,QB,Kyler Murray
47785,DE,Nick Bosa
47786,NT,Quinnen Williams
47787,DE,Clelin Ferrell
47788,ILB,Devin White
47789,QB,Daniel Jones
47790,OLB,Josh Allen
47791,TE,T.J. Hockenson
47792,DT,Ed Oliver
47793,ILB,Devin Bush
47794,T,Jonah Williams
47795,OLB,Rashan Gary
47796,DT,Christian Wilkins
47797,G,Chris Lindstrom
47799,OLB,Brian Burns
47800,DT,Dexter Lawrence
47801,C,Garrett Bradbury
47802,DT,Jeffery Simmons
47803,TE,Noah Fant
47804,SS,Darnell Savage
47805,T,Andre Dillard
47806,T,Tytus Howard
47807,RB,Josh Jacobs
47808,WR,Marquise Brown
47809,DE,Montez Sweat
47810,SS,Johnathan Abram
47811,DT,Jerry Tillery
47812,DE,L.J. Collier
47814,T,Kaleb McGary
47815,WR,N'Keal Harry
47816,CB,Byron Murphy
47817,CB,Rock Ya-Sin
47818,T,Jawaan Taylor
47819,WR,Deebo Samuel
47820,T,Greg Little
47821,G,Cody Ford
47822,CB,Sean Murphy-Bunting
47823,CB,Trayvon Mullen
47824,G,Dalton Risner
47826,ILB,Jahlani Tavai
47827,G,Elgton Jenkins
47829,CB,Greedy Williams
47830,FS,Marquise Blair
47831,C,Erik McCoy
47832,DE,Ben Banogu
47833,TE,Irv Smith
47834,WR,A.J. Brown
47835,TE,Drew Sample
47836,RB,Miles Sanders
47837,CB,Lonnie Johnson
47838,G,Max Scharping
47839,WR,Mecole Hardman
47841,DT,Trysten Hill
47842,WR,Parris Campbell
47843,FS,Nasir Adderley
47844,FS,Taylor Rapp
47845,WR,Andy Isabella
47846,FS,Juan Thornhill
47847,WR,DK Metcalf
47848,DE,Zach Allen
47849,WR,Diontae Johnson
47852,TE,Josh Oliver
47853,RB,Darrell Henderson
47854,DE,Dre'Mont Jones
47855,OLB,Germaine Pratt
47856,RB,David Montgomery
47857,RB,Devin Singletary
47859,WR,Terry McLaurin
47860,DE,Chase Winovich
47862,CB,David Long
47863,OLB,Sione Takitaki
47864,SS,Will Harris
47865,G,Nate Davis
47866,CB,Justin Layne
47867,DT,Khalen Saunders
47870,RB,Damien Harris
47871,MLB,Cody Barton
47872,ILB,Bobby Okereke
47873,G,Connor McGovern
